name,hansard_key,education_level,education_field,alma_maters,prior_occupation,occupation_category,source_url
Michael Colle,mike colle,unknown,economics,Carleton University,Teacher,education,https://en.wikipedia.org/wiki/Michael_Colle
Lisa Gretzky,lisa gretzky,unknown,,,Event planner,business,https://en.wikipedia.org/wiki/Lisa_Gretzky
Jim Wilson,jim wilson,bachelor,,University of Toronto; University of St. Michael's College,Political assistant,public-service,https://en.wikipedia.org/wiki/Jim_Wilson_(Ontario_politician)
Christine Elliott,christine elliott,professional,law,University of Western Ontario,Lawyer,law,https://en.wikipedia.org/wiki/Christine_Elliott
Elizabeth Witmer,elizabeth witmer,bachelor,education,University of Western Ontario Althouse College; Education University; University of Western Ontario; Althouse College; University of Waterloo,Teacher,education,https://en.wikipedia.org/wiki/Elizabeth_Witmer
Julia Munro,julia munro,bachelor,arts,University of Toronto,Teacher,education,https://en.wikipedia.org/wiki/Julia_Munro
Randy Hillier,randy hillier,college,electrical engineering technology,Algonquin College,Licensed construction electrician,trades-labour,https://en.wikipedia.org/wiki/Randy_Hillier
Taras Natyshak,taras natyshak,unknown,political science,University of Windsor,Trade unionist,trades-labour,https://en.wikipedia.org/wiki/Taras_Natyshak
Jeff Yurek,jeff yurek,professional,pharmacy,University of Toronto,Pharmacist,health,https://en.wikipedia.org/wiki/Jeff_Yurek
Frank Klees,frank klees,unknown,,,Businessman,business,https://en.wikipedia.org/wiki/Frank_Klees
Khalil Ramal,khalil ramal,graduate,sociology; social politics,Lebanese University,"Teacher, journalist",education,https://en.wikipedia.org/wiki/Khalil_Ramal
John Fraser,john fraser,unknown,,,Constituency assistant,public-service,https://en.wikipedia.org/wiki/John_Fraser_(Ontario_MPP)
Jim McDonell,jim mcdonell,bachelor,engineering,Queen's University,"Engineer, Bell Canada",other,https://en.wikipedia.org/wiki/Jim_McDonell
Jim Bradley,james j. bradley,unknown,,,Teacher,education,https://en.wikipedia.org/wiki/Jim_Bradley_(politician)
Bob Bailey,robert bailey,unknown,,,Independent contractor,business,https://en.wikipedia.org/wiki/Bob_Bailey_(politician)
Eric Hoskins,eric hoskins,professional,medicine,McMaster University; University of Oxford; Royal College; Balliol College; University of Aberdeen,"Physician, politician, humanitarian",health,https://en.wikipedia.org/wiki/Eric_Hoskins
Arthur Potts,arthur potts,graduate,industrial relations,University of Toronto; Queen's University,Businessman,business,https://en.wikipedia.org/wiki/Arthur_Potts_(politician)
Bill Mauro,bill mauro,unknown,education,Lakehead University,Property manager,business,https://en.wikipedia.org/wiki/Bill_Mauro
Liz Sandals,liz sandals,graduate,mathematics,University of Guelph; University of Waterloo,Teacher,education,https://en.wikipedia.org/wiki/Liz_Sandals
Charles Sousa,charles sousa,graduate,business administration,Wilfrid Laurier University; University of Western Ontario,"Politician, banker, small business owner",business,https://en.wikipedia.org/wiki/Charles_Sousa
Monique Taylor,monique taylor,unknown,,,Waitress; administrative assistant,other,https://en.wikipedia.org/wiki/Monique_Taylor
Wayne Arthurs,wayne arthurs,bachelor,arts; education,York University; University of Toronto,Teacher,education,https://en.wikipedia.org/wiki/Wayne_Arthurs_(politician)
Jagmeet Singh,jagmeet singh,professional,law,University of Western Ontario; York University; Osgoode Hall Law School,Criminal defence lawyer,law,https://en.wikipedia.org/wiki/Jagmeet_Singh
Bob Runciman,robert w. runciman,unknown,,,Weekly newspaper owner; production management,business,https://en.wikipedia.org/wiki/Bob_Runciman
Peter Shurman,peter shurman,unknown,,Sir George Williams University; Concordia University,"Broadcaster, entrepreneur",communications-PR-journalism,https://en.wikipedia.org/wiki/Peter_Shurman
Ted Chudleigh,ted chudleigh,bachelor,science,Michigan State University,Businessman,business,https://en.wikipedia.org/wiki/Ted_Chudleigh
Michael Mantha,michael mantha,unknown,,,Administrative assistant,other,https://en.wikipedia.org/wiki/Michael_Mantha
George Smitherman,george smitherman,unknown,,,Consultant,business,https://en.wikipedia.org/wiki/George_Smitherman
Rick Nicholls,rick nicholls,college,business/commerce,Clair College; University of Windsor; St. Clair College,Sales and marketing consultant,business,https://en.wikipedia.org/wiki/Rick_Nicholls
Cindy Forster,cindy forster,unknown,nursing,,Nurse,health,https://en.wikipedia.org/wiki/Cindy_Forster
Brad Duguid,brad duguid,bachelor,,University of Toronto,"Political staff (executive assistant to municipal, provincial and federal members)",public-service,https://en.wikipedia.org/wiki/Brad_Duguid
David Zimmer,david zimmer,professional,law,University of Ottawa Law School,Lawyer,law,https://en.wikipedia.org/wiki/David_Zimmer
Dwight Duncan,dwight duncan,graduate,economics; business administration,Assumption College; McGill University; University of Windsor,Political staff,public-service,https://en.wikipedia.org/wiki/Dwight_Duncan
Patrick Brown,patrick brown,professional,law,University of Toronto; University of Windsor; University of Windsor Faculty of Law,Lawyer,law,https://en.wikipedia.org/wiki/Patrick_Brown_(Canadian_politician)
Lorne Coe,lorne coe,unknown,,,Provincial ministries and private sector,public-service,https://en.wikipedia.org/wiki/Lorne_Coe
Yvan Baker,yvan baker,graduate,business administration,York University; Dartmouth College; Tuck School of Business; Schulich School of Business,Management consultant Politician,business,https://en.wikipedia.org/wiki/Yvan_Baker
Michael Harris,michael harris,graduate,arts,Conestoga College; University of Guelph,"Sales, Honeywell",business,"https://en.wikipedia.org/wiki/Michael_Harris_(politician,_born_1979)"
Dave Levac,dave levac,graduate,education,Wilfrid Laurier University; Queen's University; Niagara University,Teacher,education,https://en.wikipedia.org/wiki/Dave_Levac
Glen Murray,glen r. murray,unknown,arts/humanities,John Abbott College; Concordia University; Massey College; Concord University,Community health and human-rights advocacy,NGO-advocacy,https://en.wikipedia.org/wiki/Glen_Murray_(politician)
John Tory,tory,professional,law,University of Toronto; University of Toronto Schools; Trinity College; Osgoode Hall Law School; York University,"Lawyer, broadcaster, businessman",law,https://en.wikipedia.org/wiki/John_Tory
John O'Toole,john o’toole,bachelor,arts,University of Toronto,Business manager,business,https://en.wikipedia.org/wiki/John_O'Toole
Steven Del Duca,steven del duca,professional,law,University of Toronto; Carleton University; Osgoode Hall Law School,Union administrator,trades-labour,https://en.wikipedia.org/wiki/Steven_Del_Duca
Glenn Thibeault,glenn thibeault,college,developmental services,Cambrian College; Fanshawe College,,unknown,https://en.wikipedia.org/wiki/Glenn_Thibeault
Lou Rinaldi,lou rinaldi,college,automotive technology,George Brown College; George Brown Polytechnic,Businessman,business,https://en.wikipedia.org/wiki/Lou_Rinaldi_(politician)
Randy Pettapiece,randy pettapiece,unknown,,,Businessman,business,https://en.wikipedia.org/wiki/Randy_Pettapiece
Helena Jaczek,helena jaczek,professional,medicine,University of Toronto; York University; Women's College; Schulich School of Business,"Physician, politician",health,https://en.wikipedia.org/wiki/Helena_Jaczek
Michael Prue,prue,graduate,Canadian studies,University of Toronto; Carleton University,Civil servant,public-service,https://en.wikipedia.org/wiki/Michael_Prue
Kathryn McGarry,kathryn mcgarry,unknown,,,Critical care nurse,health,https://en.wikipedia.org/wiki/Kathryn_McGarry
Monte McNaughton,monte mcnaughton,college,,Westervelt College; Western University,Family retail business; chamber of commerce president,business,https://en.wikipedia.org/wiki/Monte_McNaughton
Lorenzo Berardinetti,lorenzo berardinetti,professional,law,University of Toronto; University of Windsor Law School; University of Windsor Faculty of Law,Lawyer,law,https://en.wikipedia.org/wiki/Lorenzo_Berardinetti
Joyce Savoline,joyce savoline,unknown,,,,unknown,https://en.wikipedia.org/wiki/Joyce_Savoline
Laurel Broten,laurel c. broten,professional,law,McMaster University; University of Western Ontario,Lawyer,law,https://en.wikipedia.org/wiki/Laurel_Broten
Mitzie Hunter,mitzie hunter,graduate,business administration,University of Toronto; Rotman School of Management,"Non-profit executive (Goodwill Industries, CivicAction)",NGO-advocacy,https://en.wikipedia.org/wiki/Mitzie_Hunter
Norm Sterling,norman w. sterling,professional,law,Carleton University; University of Ottawa,Lawyer,law,https://en.wikipedia.org/wiki/Norm_Sterling
Cristina Martins,cristina martins,unknown,,,Pharmacist,health,https://en.wikipedia.org/wiki/Cristina_Martins
Howard Hampton,hampton,professional,law,Dartmouth College; University of Toronto; University of Ottawa; University of Ottawa Faculty of Law,Lawyer,law,https://en.wikipedia.org/wiki/Howard_Hampton
Michael Coteau,michael coteau,bachelor,history and political science,Carleton University,"Educator, businessman",education,https://en.wikipedia.org/wiki/Michael_Coteau
Sam Oosterhoff,sam oosterhoff,bachelor,political science,Brock University; McMaster University,Legislative assistant and policy analyst,public-service,https://en.wikipedia.org/wiki/Sam_Oosterhoff
Indira Naidoo-Harris,indira naidoo-harris,bachelor,,University of Lethbridge; University of Alberta,"Journalist, university administration",communications-PR-journalism,https://en.wikipedia.org/wiki/Indira_Naidoo-Harris
Marit Stiles,marit stiles,bachelor,political science,Carleton University; Memorial University,"Policy researcher; research and policy director, ACTRA",other,https://en.wikipedia.org/wiki/Marit_Stiles
Peter Kormos,kormos,professional,law,Niagara College; York University; Osgoode Hall; Osgoode Hall Law School,Lawyer,law,https://en.wikipedia.org/wiki/Peter_Kormos
Paul Calandra,paul calandra,bachelor,history,Carleton University,Insurance business,business,https://en.wikipedia.org/wiki/Paul_Calandra
Sophie Kiwala,sophie kiwala,unknown,political science,Humber College; Queen's University,Office manager and chief of staff to federal MPs,public-service,https://en.wikipedia.org/wiki/Sophie_Kiwala
David Orazietti,david orazietti,unknown,,Sault College,"Teacher, Algoma District School Board",education,https://en.wikipedia.org/wiki/David_Orazietti
Chris Ballard,chris ballard,unknown,,,Businessman; journalist,communications-PR-journalism,https://en.wikipedia.org/wiki/Chris_Ballard_(politician)
Tim Hudak,hudak,graduate,economics,University of Western Ontario; University of Washington,,unknown,https://en.wikipedia.org/wiki/Tim_Hudak
Tracy MacCharles,tracy maccharles,bachelor,business and public administration,Brock University,Human resources executive,business,https://en.wikipedia.org/wiki/Tracy_MacCharles
John Gerretsen,john gerretsen,professional,law,Queen's University,Lawyer,law,https://en.wikipedia.org/wiki/John_Gerretsen
Sandy Shaw,sandy shaw,unknown,,,Director of the Hamilton Port Authority Director of Corporate and Social Responsibility First Ontario Credit Union,business,https://en.wikipedia.org/wiki/Sandy_Shaw_(politician)
Andrea Horwath,horwath,bachelor,labour studies,McMaster University,Community organizer; literacy and legal-aid advocacy,NGO-advocacy,https://en.wikipedia.org/wiki/Andrea_Horwath
David Caplan,david caplan,unknown,,University of Western Ontario,Commercial real estate agent,business,https://en.wikipedia.org/wiki/David_Caplan
Daiene Vernile,daiene vernile,unknown,,,Television journalist,communications-PR-journalism,https://en.wikipedia.org/wiki/Daiene_Vernile
John Wilkinson,john wilkinson,unknown,,University of Waterloo Stratford Campus Advisory Board,Financial planner,business,https://en.wikipedia.org/wiki/John_Wilkinson_(Ontario_politician)
Monique Smith,monique m. smith,professional,law,University of Toronto; Queen's University,Lawyer,law,https://en.wikipedia.org/wiki/Monique_Smith_(Canadian_politician)
Shelley Martel,shelley martel,unknown,international politics,University of Toronto,Insurance adjudicator,business,https://en.wikipedia.org/wiki/Shelley_Martel
Jerry Ouellette,jerry j. ouellette,college,business administration,Durham College,,unknown,https://en.wikipedia.org/wiki/Jerry_Ouellette
Dalton McGuinty,mcguinty,professional,law,McMaster University; Harvard University; University of Ottawa; University of Ottawa Faculty of Law,Lawyer,law,https://en.wikipedia.org/wiki/Dalton_McGuinty
Gilles Bisson,bisson,unknown,,,"Labour union organizer, Ontario Federation of Labour",trades-labour,https://en.wikipedia.org/wiki/Gilles_Bisson
Peter Fonseca,peter fonseca,bachelor,arts; education,University of Oregon; University of Windsor,Management consultant,business,https://en.wikipedia.org/wiki/Peter_Fonseca
Nathalie Des Rosiers,nathalie des rosiers,professional,law,Université de Montréal; Harvard University; Massey College; University of Toronto; University of Western Ontario,Lawyer,law,https://en.wikipedia.org/wiki/Nathalie_Des_Rosiers
Marie-France Lalonde,marie-france lalonde,bachelor,social work,University of Ottawa; Université du Québec,Social worker; businesswoman,health,https://en.wikipedia.org/wiki/Marie-France_Lalonde
Carol Mitchell,carol mitchell,college,,Fanshawe College,Retail store owner,business,https://en.wikipedia.org/wiki/Carol_Mitchell
Laura Albanese,laura albanese,unknown,,,Journalist,communications-PR-journalism,https://en.wikipedia.org/wiki/Laura_Albanese
Jim Brownell,jim brownell,graduate,education,University of Ottawa; Queen's University,Teacher,education,https://en.wikipedia.org/wiki/Jim_Brownell
Shafiq Qaadri,shafiq qaadri,professional,medicine,University of Toronto; University of Toronto Medical School; Oxford University,Physician,health,https://en.wikipedia.org/wiki/Shafiq_Qaadri
Eleanor McMahon,eleanor mcmahon,unknown,,University of Windsor,Non-profit director,NGO-advocacy,https://en.wikipedia.org/wiki/Eleanor_McMahon
Michael Gravelle,michael gravelle,bachelor,,Lakehead University,Executive assistant to Liberal politicians; publicist,public-service,https://en.wikipedia.org/wiki/Michael_Gravelle
Jim Watson,jim watson,bachelor,mass communications,Carleton University,,communications-PR-journalism,https://en.wikipedia.org/wiki/Jim_Watson_(Canadian_politician)
Tony Ruprecht,tony ruprecht,graduate,political science,Laurentian University; Wichita State University; Miami University; York University,Teacher,education,https://en.wikipedia.org/wiki/Tony_Ruprecht
Christopher Bentley,christopher bentley,professional,law,University of Western Ontario; University of Toronto; Cambridge University; Wolfson College,lawyer,law,https://en.wikipedia.org/wiki/Chris_Bentley_(politician)
Phil McNeely,phil mcneely,graduate,engineering,McGill University; Imperial College,Engineering firm CEO,business,https://en.wikipedia.org/wiki/Phil_McNeely
Soo Wong,soo wong,graduate,nursing,University of Toronto; D'Youville University; Humber College,Registered nurse,health,https://en.wikipedia.org/wiki/Soo_Wong
Ted McMeekin,ted mcmeekin,graduate,social work,McMaster University; Wilfrid Laurier University; Mohawk College,Business owner,unknown,https://en.wikipedia.org/wiki/Ted_McMeekin
John Milloy,john milloy,graduate,history,Carleton University; Oxford University; McGill-Queen's University; University of Oxford; London School of Economics and Political Science,Civil servant,public-service,https://en.wikipedia.org/wiki/John_Milloy
Joel Harden,joel harden,graduate,political science,York University; Queen's University; Carleton University; Brock University; Nipissing University,,education,https://en.wikipedia.org/wiki/Joel_Harden
Ann Hoggarth,ann hoggarth,unknown,,,Teacher,education,https://en.wikipedia.org/wiki/Ann_Hoggarth
Stephen Lecce,stephen lecce,bachelor,political science,University of Western Ontario; UWO's University,"Director of media relations, Prime Minister's Office",public-service,https://en.wikipedia.org/wiki/Stephen_Lecce
Peter Tabuns,tabuns,unknown,political science,York University,,unknown,https://en.wikipedia.org/wiki/Peter_Tabuns
Shelley Martel,martel,unknown,international politics,University of Toronto,Insurance adjudicator,business,https://en.wikipedia.org/wiki/Shelley_Martel
Maria Van Bommel,maria van bommel,unknown,,University of Western Ontario; Fanshawe College,,unknown,https://en.wikipedia.org/wiki/Maria_Van_Bommel
Michael Bryant,michael bryant,professional,law,University of British Columbia; Osgoode Hall Law School; York University; King's College; University of Toronto,"lawyer, executive",law,https://en.wikipedia.org/wiki/Michael_Bryant_(politician)
Reza Moridi,reza moridi,graduate,physics,Tehran University; Brunel University; Odlar Yurdu University,Chartered engineer and physicist,other,https://en.wikipedia.org/wiki/Reza_Moridi
Peter Milczyn,peter z. milczyn,bachelor,architecture,University of Toronto,Architect / urban planner,other,https://en.wikipedia.org/wiki/Peter_Milczyn
Joe Dickson,joe dickson,unknown,,,Businessowner,business,https://en.wikipedia.org/wiki/Joe_Dickson
Dave Smith,dave smith,graduate,computing; business administration,Trent University; University of Fredericton,Manager of Product Development,business,"https://en.wikipedia.org/wiki/Dave_Smith_(Peterborough,_Ontario_politician)"
Mike Schreiner,mike schreiner,graduate,history; business administration,University of Kansas Indiana University; University of Kansas; Indiana University; University of Toronto,"Co-founder, organic food businesses",business,https://en.wikipedia.org/wiki/Mike_Schreiner
Rosario Marchese,marchese,bachelor,arts; education,University of Toronto,Teacher,education,https://en.wikipedia.org/wiki/Rosario_Marchese
John O'Toole,o'toole,bachelor,arts,University of Toronto,Business manager,business,https://en.wikipedia.org/wiki/John_O'Toole
Madeleine Meilleur,madeleine meilleur,professional,law; nursing,University of Ottawa Faculty of Law,"Registered Nurse, Lawyer",law,https://en.wikipedia.org/wiki/Madeleine_Meilleur
Han Dong,han dong,unknown,,,Marketing director,business,https://en.wikipedia.org/wiki/Han_Dong_(politician)
Leeanna Pendergast,leeanna pendergast,graduate,education,University of Waterloo; University of Toronto; Oxford University; University of Oxford,Teacher,education,https://en.wikipedia.org/wiki/Leeanna_Pendergast
Doug Ford,doug ford,secondary,,Humber College,"Co-owner, Deco Labels and Tags",business,https://en.wikipedia.org/wiki/Doug_Ford
Leona Dombrowsky,leona dombrowsky,bachelor,arts,University of Toronto; University of St. Michael's College,Catholic school board trustee,public-service,https://en.wikipedia.org/wiki/Leona_Dombrowsky
Bas Balkissoon,bas balkissoon,unknown,,,Municipal councillor,public-service,https://en.wikipedia.org/wiki/Bas_Balkissoon
Jessica Bell,jessica bell,unknown,,,,unknown,https://en.wikipedia.org/wiki/Jessica_Bell_(politician)
Donna Cansfield,donna h. cansfield,unknown,,,,unknown,https://en.wikipedia.org/wiki/Donna_Cansfield
John Tory,john tory,professional,law,University of Toronto; University of Toronto Schools; Trinity College; Osgoode Hall Law School; York University,"Lawyer, broadcaster, businessman",law,https://en.wikipedia.org/wiki/John_Tory
George Smitherman,smitherman,unknown,,,Consultant,business,https://en.wikipedia.org/wiki/George_Smitherman
Mike Harris,mike harris,college,education,Waterloo Lutheran University; Laurentian University; North Bay Teacher's College,Elementary school teacher; ski instructor,education,https://en.wikipedia.org/wiki/Mike_Harris
Bhutila Karpoche,bhutila karpoche,graduate,public health,University of British Columbia; University of Toronto's Dalla Lana School; Toronto Metropolitan University (Ryerson),,unknown,https://en.wikipedia.org/wiki/Bhutila_Karpoche
Sandra Pupatello,sandra pupatello,bachelor,arts,University of Windsor,"Rotary Club general manager; executive director, Kidney Foundation",NGO-advocacy,https://en.wikipedia.org/wiki/Sandra_Pupatello
Robin Martin,robin martin,professional,law,McGill University; Sciences Po University; University of Toronto,Lawyer,law,https://en.wikipedia.org/wiki/Robin_Martin
Harinder Takhar,harinder s. takhar,graduate,economics; accounting,Guru Nanak Dev University; Punjabi University; Sheridan College,Businessman,business,https://en.wikipedia.org/wiki/Harinder_Takhar
Doug Downey,doug downey,professional,law,Wilfrid Laurier University; Brock University; Dalhousie University; Osgoode Hall Law School; Laurentian University,Lawyer,law,https://en.wikipedia.org/wiki/Doug_Downey
Goldie Ghamari,goldie ghamari,professional,law,University of Toronto; University of Ottawa,International trade lawyer,law,https://en.wikipedia.org/wiki/Goldie_Ghamari
Dipika Damerla,dipika damerla,graduate,business administration,University of Toronto,Corporate banking,business,https://en.wikipedia.org/wiki/Dipika_Damerla
Linda Jeffrey,linda jeffrey,unknown,,,,unknown,https://en.wikipedia.org/wiki/Linda_Jeffrey
Suze Morrison,suze morrison,bachelor,media studies,University of Guelph-Humber; University of Guelph,Communications consultant,communications-PR-journalism,https://en.wikipedia.org/wiki/Suze_Morrison
Ian Arthur,ian arthur,bachelor,international development,Trent University; Queen's University; University of Ghana,Executive chef,other,https://en.wikipedia.org/wiki/Ian_Arthur
Jamie West,jamie west,unknown,,Laurentian University,"Smelter Worker Safety Representative, Flash Furnace Operator, Trade unionist, university professor",trades-labour,https://en.wikipedia.org/wiki/Jamie_West
Gerry Martiniuk,gerry martiniuk,professional,law,University of Western Ontario; University of Toronto; Osgoode Hall Law School,Lawyer,law,https://en.wikipedia.org/wiki/Gerry_Martiniuk
Sara Singh,sara singh,graduate,international development; public policy,Mary's University; York University; Toronto Metropolitan University (Ryerson); St. Mary's University,,NGO-advocacy,https://en.wikipedia.org/wiki/Sara_Singh
Mario Sergio,mario sergio,college,technical,,Real estate broker,business,https://en.wikipedia.org/wiki/Mario_Sergio_(politician)
Harinder Malhi,harinder malhi,bachelor,public administration,Toronto Metropolitan University (Ryerson),Real estate agent,business,https://en.wikipedia.org/wiki/Harinder_Malhi
Rick Bartolucci,rick bartolucci,bachelor,education,Laurentian University; North Bay Teacher's College,Teacher,education,https://en.wikipedia.org/wiki/Rick_Bartolucci
Ernie Hardeman,hardeman,unknown,,,Business owner,business,https://en.wikipedia.org/wiki/Ernie_Hardeman
Bob Chiarelli,bob chiarelli,professional,law,Clarkson University; University of Ottawa; University of Ottawa Faculty of Law,Lawyer,law,https://en.wikipedia.org/wiki/Bob_Chiarelli
Jill Andrew,jill andrew,graduate,education; women and gender studies,Humber College; York University; University of Toronto,Educator,education,https://en.wikipedia.org/wiki/Jill_Andrew
Vic Dhillon,vic dhillon,bachelor,business administration,Lakehead University,Businessman,business,https://en.wikipedia.org/wiki/Vic_Dhillon
Granville Anderson,granville anderson,college,business administration; mediation,University of Windsor; Seneca College; York University; Seneca Polytechnic,"Mediator, Workplace Safety and Insurance Appeals Tribunal",public-service,https://en.wikipedia.org/wiki/Granville_Anderson
Will Bouma,will bouma,professional,optometry,University of Waterloo; Michigan College,Optometrist,health,https://en.wikipedia.org/wiki/Will_Bouma
Laura Mae Lindo,laura mae lindo,graduate,education,University of Waterloo; University of Toronto; York University; Wilfrid Laurier University,,education,https://en.wikipedia.org/wiki/Laura_Mae_Lindo
Kevin Yarde,kevin yarde,unknown,journalism,York University; Toronto Metropolitan University (Ryerson),Weather presenter,unknown,https://en.wikipedia.org/wiki/Kevin_Yarde
David Ramsay,david ramsay,unknown,,Concordia University,Farmer,agriculture,https://en.wikipedia.org/wiki/David_Ramsay_(Ontario_politician)
Rima Berns-McGown,rima berns-mcgown,unknown,,,"Author, researcher and professor",education,https://en.wikipedia.org/wiki/Rima_Berns-McGown
Bill Murdoch,bill murdoch,unknown,,,Farmer,agriculture,https://en.wikipedia.org/wiki/Bill_Murdoch
Greg Rickford,greg rickford,professional,law; nursing,Mohawk College; McGill University; Laval University; Victoria University,Nurse and lawyer in remote First Nations communities,law,https://en.wikipedia.org/wiki/Greg_Rickford
