file,source,chamber,stratum,arm,seg_id,date,speaker,n_words,genre,regime_flag,pangram,fraction_ai,version,prior_p3
ansctl034,expansion,NSW,ctl,chamber,NSWLA2015-06-24#t3w2,2015-06-24,Mr DAMIEN TUDEHOPE,321,,,Human,0.0,4.0,
ansctl035,expansion,NSW,ctl,chamber,NSWLC2017-05-25#t53w2,2017-05-25,The Hon. JOHN GRAHAM,152,,,Human,0.0,4.0,
ansctl036,expansion,NSW,ctl,chamber,NSWLA2010-05-11#t160w1,2010-05-11,Mr ROB STOKES,274,,,Human,0.0,4.0,
ansctl037,expansion,NSW,ctl,chamber,NSWLA2015-08-12#t230w1,2015-08-12,Ms JODI McKAY,167,,,Human,0.0,4.0,
ansctl038,expansion,NSW,ctl,chamber,NSWLA2008-02-26#t157w7,2008-02-26,Mr ANDREW FRASER,348,,,Human,0.0,4.0,
ansctl039,expansion,NSW,ctl,chamber,NSWLA2007-11-30#t4w5,2007-11-30,Mr BARRY COLLIER,345,,,Human,0.0,4.0,
ansctl040,expansion,NSW,ctl,chamber,NSWLA2015-06-25#t271w1,2015-06-25,Mr ROB STOKES,323,,,Human,0.0,4.0,
ansctl041,expansion,NSW,ctl,chamber,NSWLC2010-09-08#t0w2,2010-09-08,The Hon. DON HARWIN,348,,,Human,0.0,4.0,
ansctl042,expansion,NSW,ctl,chamber,NSWLC2009-09-02#t60w0,2009-09-02,The Hon. ERIC ROOZENDAAL,143,,,Human,0.0,4.0,
ansctl043,expansion,NSW,ctl,chamber,NSWLA2019-08-21#t258w0,2019-08-21,Mr ADAM CROUCH,142,,,Human,0.0,4.0,
ansctl044,expansion,NSW,ctl,chamber,NSWLC2007-12-05#t145w0,2007-12-05,Ms SYLVIA HALE,183,,,Human,0.0,4.0,
ansctl045,expansion,NSW,ctl,chamber,NSWLC2015-06-24#t129w0,2015-06-24,The Hon. DAVID CLARKE,123,,,Human,0.0,4.0,
ansctl046,expansion,NSW,ctl,chamber,NSWLA2009-09-02#t56w0,2009-09-02,Ms CARMEL TEBBUTT,263,,,Human,0.0,4.0,
ansctl047,expansion,NSW,ctl,chamber,NSWLC2007-11-08#t9w2,2007-11-08,Mr IAN COHEN,354,,,Human,0.0,4.0,
ansctl048,expansion,NSW,ctl,chamber,NSWLA2019-06-06#t42w0,2019-06-06,Mr JAMES GRIFFIN,359,,,Human,0.0,4.0,
ansctl049,expansion,NSW,ctl,chamber,NSWLA2006-03-29#t18w3,2006-03-29,Mr WAYNE MERTON,323,,,Human,0.0,4.0,
ansctl050,expansion,NSW,ctl,chamber,NSWLA2010-05-13#t186w0,2010-05-13,Mr GREG PIPER,240,,,Human,0.0,4.0,
ansctl051,expansion,NSW,ctl,chamber,NSWLA2006-05-23#t103w0,2006-05-23,Mr BARRY O'FARRELL,174,,,Human,0.0,4.0,
ansctl052,expansion,NSW,ctl,chamber,NSWLC2006-09-07#t47w1,2006-09-07,The Hon. IAN MACDONALD,329,,,Human,0.0,4.0,
ansctl053,expansion,NSW,ctl,chamber,NSWLA2007-06-08#t15w1,2007-06-08,Mrs KARYN PALUZZANO,225,,,Human,0.0,4.0,
ansctl054,expansion,NSW,ctl,chamber,NSWLA2018-04-10#t10w2,2018-04-10,Mr JAMES GRIFFIN,263,,,Human,0.0,4.0,
ansctl055,expansion,NSW,ctl,chamber,NSWLC2006-09-28#t105w3,2006-09-28,The Hon. JON JENKINS,312,,,Human,0.0,4.0,
ansctl056,expansion,NSW,ctl,chamber,NSWLC2010-05-12#t92w0,2010-05-12,The Hon. PETER PRIMROSE,355,,,Human,0.0,4.0,
ansctl057,expansion,NSW,ctl,chamber,NSWLA2015-09-17#t12w2,2015-09-17,Ms JO HAYLEN,306,,,Human,0.0,4.0,
ansctl058,expansion,NSW,ctl,chamber,NSWLC2015-08-26#t64w0,2015-08-26,The Hon. JOHN AJAKA,160,,,Human,0.0,4.0,
ansctl059,expansion,NSW,ctl,chamber,NSWLA2007-05-31#t34w2,2007-05-31,Mr WAYNE MERTON,243,,,Human,0.0,4.0,
aqlctl000,expansion,QLD,ctl,chamber,QLD2009-05-21#t43w0,2009-05-21,FRASER,356,,,Human,0.0,4.0,
aqlctl001,expansion,QLD,ctl,chamber,QLD2015-10-27#t36w1,2015-10-27,PITT,223,,,Human,0.0,4.0,
aqlctl002,expansion,QLD,ctl,chamber,QLD2017-06-15#t189w0,2017-06-15,PEARCE,325,,,Human,0.0,4.0,
aqlctl003,expansion,QLD,ctl,chamber,QLD2009-06-03#t180w0,2009-06-03,DOUGLAS,336,,,Human,0.0,4.0,
aqlctl004,expansion,QLD,ctl,chamber,QLD2017-06-15#t119w0,2017-06-15,EMERSON,356,,,Human,0.0,4.0,
aqlctl005,expansion,QLD,ctl,chamber,QLD2006-04-20#t142w0,2006-04-20,LANGBROEK,336,,,Human,0.0,4.0,
aqlctl006,expansion,QLD,ctl,chamber,QLD2007-02-08#t7w0,2007-02-08,BEATTIE,144,,,Human,0.0,4.0,
aqlctl007,expansion,QLD,ctl,chamber,QLD2015-05-20#t120w0,2015-05-20,EMERSON,336,,,Human,0.0,4.0,
aqlctl008,expansion,QLD,ctl,chamber,QLD2006-02-15#t161w2,2006-02-15,CALTABIANO,337,,,Human,0.0,4.0,
aqlctl009,expansion,QLD,ctl,chamber,QLD2008-03-13#t155w0,2008-03-13,SULLIVAN,360,,,Human,0.0,4.0,
aqlctl010,expansion,QLD,ctl,chamber,QLD2018-11-01#t127w2,2018-11-01,STUCKEY,324,,,Human,0.0,4.0,
aqlctl011,expansion,QLD,ctl,chamber,QLD2015-03-26#t10w1,2015-03-26,DONALDSON,305,,,Human,0.0,4.0,
aqlctl012,expansion,QLD,ctl,chamber,QLD2019-02-12#t147w1,2019-02-12,GILBERT,242,,,Human,0.0,4.0,
aqlctl013,expansion,QLD,ctl,chamber,QLD2015-07-16#t102w1,2015-07-16,LANGBROEK,337,,,Human,0.0,4.0,
aqlctl014,expansion,QLD,ctl,chamber,QLD2006-05-11#t154w0,2006-05-11,CARRYN SULLIVAN,244,,,Human,0.0,4.0,
aqlctl015,expansion,QLD,ctl,chamber,QLD2007-02-22#t104w1,2007-02-22,NICHOLLS,341,,,Human,0.0,4.0,
aqlctl016,expansion,QLD,ctl,chamber,QLD2016-02-18#t103w9,2016-02-18,McARDLE,320,,,Human,0.0,4.0,
aqlctl017,expansion,QLD,ctl,chamber,QLD2018-03-21#t109w2,2018-03-21,BATES,351,,,Human,0.0,4.0,
aqlctl018,expansion,QLD,ctl,chamber,QLD2007-06-06#t78w1,2007-06-06,BOYLE,127,,,Human,0.0,4.0,
aqlctl019,expansion,QLD,ctl,chamber,QLD2007-06-07#t201w0,2007-06-07,LANGBROEK,342,,,Human,0.0,4.0,
aqlctl020,expansion,QLD,ctl,chamber,QLD2008-12-04#t124w3,2008-12-04,LANGBROEK,199,,,Human,0.0,4.0,
aqlctl021,expansion,QLD,ctl,chamber,QLD2010-02-09#t116w1,2010-02-09,WILSON,337,,,Human,0.0,4.0,
aqlctl022,expansion,QLD,ctl,chamber,QLD2007-04-18#t45w0,2007-04-18,BEATTIE,165,,,Human,0.0,4.0,
aqlctl023,expansion,QLD,ctl,chamber,QLD2017-03-21#t178w10,2017-03-21,KATTER,352,,,Human,0.0,4.0,
aqlctl024,expansion,QLD,ctl,chamber,QLD2019-08-21#t19w0,2019-08-21,BAILEY,123,,,Human,0.0,4.0,
aqlctl025,expansion,QLD,ctl,chamber,QLD2016-05-24#t128w0,2016-05-24,BYRNE,339,,,Human,0.0,4.0,
aqlctl026,expansion,QLD,ctl,chamber,QLD2007-06-06#t97w2,2007-06-06,MESSENGER,343,,,Human,0.0,4.0,
aqlctl027,expansion,QLD,ctl,chamber,QLD2017-09-07#t112w0,2017-09-07,MOLHOEK,319,,,Human,0.0,4.0,
aqlctl028,expansion,QLD,ctl,chamber,QLD2006-04-21#t187w0,2006-04-21,LIDDY CLARK,343,,,Human,0.0,4.0,
aqlctl029,expansion,QLD,ctl,chamber,QLD2008-05-14#t154w1,2008-05-14,WELLINGTON,340,,,Human,0.0,4.0,
aqlctl030,expansion,QLD,ctl,chamber,QLD2009-04-22#t128w1,2009-04-22,CUNNINGHAM,331,,,Human,0.0,4.0,
aqlctl031,expansion,QLD,ctl,chamber,QLD2019-06-14#t74w1,2019-06-14,BENNETT,282,,,Human,0.0,4.0,
aqlctl032,expansion,QLD,ctl,chamber,QLD2009-11-12#t247w0,2009-11-12,GIBSON,166,,,Human,0.0,4.0,
aqlctl033,expansion,QLD,ctl,chamber,QLD2008-02-28#t199w1,2008-02-28,PRATT,339,,,Human,0.0,4.0,
aqlctl034,expansion,QLD,ctl,chamber,QLD2019-11-28#t138w1,2019-11-28,SCANLON,358,,,Human,0.0,4.0,
aqlctl035,expansion,QLD,ctl,chamber,QLD2017-06-14#t114w3,2017-06-14,MILES,345,,,Human,0.0,4.0,
aqlctl036,expansion,QLD,ctl,chamber,QLD2008-09-10#t141w7,2008-09-10,HOBBS,325,,,Human,0.0,4.0,
aqlctl037,expansion,QLD,ctl,chamber,QLD2017-05-23#t182w0,2017-05-23,FURNER,346,,,Human,0.0,4.0,
aqlctl038,expansion,QLD,ctl,chamber,QLD2008-03-12#t144w4,2008-03-12,CUNNINGHAM,322,,,Human,0.0,4.0,
aqlctl039,expansion,QLD,ctl,chamber,QLD2010-04-14#t223w0,2010-04-14,BLEIJIE,358,,,Human,0.0,4.0,
aqlctl040,expansion,QLD,ctl,chamber,QLD2017-08-09#t135w0,2017-08-09,MINNIKIN,179,,,Human,0.0,4.0,
aqlctl041,expansion,QLD,ctl,chamber,QLD2017-05-10#t188w0,2017-05-10,DICKSON,334,,,Human,0.0,4.0,
aqlctl042,expansion,QLD,ctl,chamber,QLD2017-09-05#t191w1,2017-09-05,POWELL,336,,,Human,0.0,4.0,
aqlctl043,expansion,QLD,ctl,chamber,QLD2010-05-20#t45w0,2010-05-20,SCHWARTEN,126,,,Human,0.0,4.0,
aqlctl044,expansion,QLD,ctl,chamber,QLD2009-02-10#t51w2,2009-02-10,FLEGG,321,,,Human,0.0,4.0,
aqlctl045,expansion,QLD,ctl,chamber,QLD2009-08-18#t112w0,2009-08-18,HOOLIHAN,343,,,Human,0.0,4.0,
aqlctl046,expansion,QLD,ctl,chamber,QLD2010-04-15#t22w0,2010-04-15,NOLAN,240,,,Human,0.0,4.0,
aqlctl047,expansion,QLD,ctl,chamber,QLD2017-08-08#t202w0,2017-08-08,KELLY,299,,,Human,0.0,4.0,
aqlctl048,expansion,QLD,ctl,chamber,QLD2007-10-30#t174w4,2007-10-30,HORAN,344,,,Human,0.0,4.0,
aqlctl049,expansion,QLD,ctl,chamber,QLD2007-08-09#t281w0,2007-08-09,SHINE,358,,,Human,0.0,4.0,
aqlctl050,expansion,QLD,ctl,chamber,QLD2008-11-11#t121w0,2008-11-11,SPENCE,345,,,Human,0.0,4.0,
aqlctl051,expansion,QLD,ctl,chamber,QLD2019-03-26#t177w1,2019-03-26,KATTER,326,,,Human,0.0,4.0,
aqlctl052,expansion,QLD,ctl,chamber,QLD2015-12-01#t158w2,2015-12-01,McARDLE,353,,,Human,0.0,4.0,
aqlctl053,expansion,QLD,ctl,chamber,QLD2008-05-13#t192w0,2008-05-13,KNUTH,348,,,Human,0.0,4.0,
aqlctl054,expansion,QLD,ctl,chamber,QLD2010-06-09#t245w0,2010-06-09,van LITSENBURG,344,,,Human,0.0,4.0,
aqlctl055,expansion,QLD,ctl,chamber,QLD2010-09-14#t111w2,2010-09-14,HORAN,145,,,Human,0.0,4.0,
aqlctl056,expansion,QLD,ctl,chamber,QLD2007-08-21#t23w0,2007-08-21,BOYLE,341,,,Human,0.0,4.0,
aqlctl057,expansion,QLD,ctl,chamber,QLD2009-06-04#t154w0,2009-06-04,HORAN,328,,,Human,0.0,4.0,
aqlctl058,expansion,QLD,ctl,chamber,QLD2008-11-25#t113w0,2008-11-25,NICHOLLS,200,,,Human,0.0,4.0,
aqlctl059,expansion,QLD,ctl,chamber,QLD2016-08-16#t4w1,2016-08-16,PALASZCZUK,340,,,Human,0.0,4.0,
asactl000,expansion,SA,ctl,chamber,SAHA2018-11-07#t10w0,2018-11-07,The Hon. Z.L. BETTISON,179,,,Human,0.0,4.0,
asactl001,expansion,SA,ctl,chamber,SALC2006-05-09#t85w0,2006-05-09,The Hon. J.M.A. LENSINK,349,,,Human,0.0,4.0,
asactl002,expansion,SA,ctl,chamber,SAHA2007-07-05#t85w0,2007-07-05,The Hon. R.J. McEWEN,146,,,Human,0.0,4.0,
asactl003,expansion,SA,ctl,chamber,SAHA2015-09-10#t33w1,2015-09-10,Mr TRELOAR,302,,,Human,0.0,4.0,
asactl004,expansion,SA,ctl,chamber,SALC2010-11-10#t147w1,2010-11-10,The Hon. T.A. FRANKS,340,,,Human,0.0,4.0,
asactl005,expansion,SA,ctl,chamber,SALC2007-10-16#t6w0,2007-10-16,The Hon. P. HOLLOWAY,349,,,Human,0.0,4.0,
asactl006,expansion,SA,ctl,chamber,SAHA2018-05-16#t209w1,2018-05-16,Ms BETTISON,341,,,Human,0.0,4.0,
asactl007,expansion,SA,ctl,chamber,SAHA2018-10-17#t25w2,2018-10-17,Mr TRELOAR,351,,,Human,0.0,4.0,
asactl008,expansion,SA,ctl,chamber,SAHA2008-02-14#t53w3,2008-02-14,Mr PENGILLY,359,,,Human,0.0,4.0,
asactl009,expansion,SA,ctl,chamber,SAHA2007-03-07#t112w0,2007-03-07,Mr HAMILTON-SMITH,357,,,Human,0.0,4.0,
asactl010,expansion,SA,ctl,chamber,SALC2018-11-28#t127w3,2018-11-28,The Hon. C. BONAROS,347,,,Human,0.0,4.0,
asactl011,expansion,SA,ctl,chamber,SALC2019-09-25#t124w2,2019-09-25,The Hon. I. PNEVMATIKOS,186,,,Human,0.0,4.0,
asactl012,expansion,SA,ctl,chamber,SAHA2008-02-27#t19w0,2008-02-27,Mrs REDMOND,350,,,Human,0.0,4.0,
asactl013,expansion,SA,ctl,chamber,SALC2018-11-13#t96w0,2018-11-13,The Hon. S.G. WADE,176,,,Human,0.0,4.0,
asactl014,expansion,SA,ctl,chamber,SAHA2018-11-14#t160w1,2018-11-14,Mr McBRIDE,347,,,Human,0.0,4.0,
asactl015,expansion,SA,ctl,chamber,SAHA2007-10-24#t96w0,2007-10-24,The Hon. K.O. FOLEY,135,,,Human,0.0,4.0,
asactl016,expansion,SA,ctl,chamber,SALC2009-11-18#t275w0,2009-11-18,The Hon. D.G.E. HOOD,124,,,Human,0.0,4.0,
asactl017,expansion,SA,ctl,chamber,SAHA2007-11-22#t155w3,2007-11-22,Mrs REDMOND,281,,,Human,0.0,4.0,
asactl018,expansion,SA,ctl,chamber,SAHA2019-02-26#t173w1,2019-02-26,The Hon. V.A. CHAPMAN,351,,,Human,0.0,4.0,
asactl019,expansion,SA,ctl,chamber,SALC2010-11-11#t22w0,2010-11-11,The Hon. P. HOLLOWAY,337,,,Human,0.0,4.0,
asactl020,expansion,SA,ctl,chamber,SAHA2018-07-25#t5w1,2018-07-25,The Hon. R. SANDERSON,329,,,Human,0.0,4.0,
asactl021,expansion,SA,ctl,chamber,SAHA2007-11-14#tx045t0w0,2007-11-14,Mr O'BRIEN,314,,,Human,0.0,4.0,
asactl022,expansion,SA,ctl,chamber,SALC2016-02-24#t103w11,2016-02-24,The Hon. K.L. VINCENT,316,,,Human,0.0,4.0,
asactl023,expansion,SA,ctl,chamber,SAHA2019-07-31#t193w0,2019-07-31,Mr PICTON,323,,,Human,0.0,4.0,
asactl024,expansion,SA,ctl,chamber,SAHA2008-06-05#t9w1,2008-06-05,Mr O'BRIEN,356,,,Human,0.0,4.0,
asactl025,expansion,SA,ctl,chamber,SALC2006-11-20#t36w0,2006-11-20,The Hon. P. HOLLOWAY,211,,,Human,0.0,4.0,
asactl026,expansion,SA,ctl,chamber,SAHA2008-03-06#tx018t1w1,2008-03-06,The Hon. M.D. RANN,312,,,Human,0.0,4.0,
asactl027,expansion,SA,ctl,chamber,SAHA2018-05-15#t2w5,2018-05-15,Ms STINSON,340,,,Human,0.0,4.0,
asactl028,expansion,SA,ctl,chamber,SAHA2018-10-23#t143w0,2018-10-23,Ms COOK,339,,,Human,0.0,4.0,
asactl029,expansion,SA,ctl,chamber,SAHA2018-06-05#t165w3,2018-06-05,Mr McBRIDE,329,,,Human,0.0,4.0,
asactl030,expansion,SA,ctl,chamber,SAHA2008-02-27#t65w0,2008-02-27,The Hon. M.D. RANN,157,,,Human,0.0,4.0,
asactl031,expansion,SA,ctl,chamber,SAHA2018-09-05#t59w0,2018-09-05,Mr MALINAUSKAS,348,,,Human,0.0,4.0,
asactl032,expansion,SA,ctl,chamber,SAHA2019-06-18#t3w2,2019-06-18,Mr TEAGUE,348,,,Human,0.0,4.0,
asactl033,expansion,SA,ctl,chamber,SAHA2018-05-30#t12w1,2018-05-30,Mr BROCK,360,,,Human,0.0,4.0,
asactl034,expansion,SA,ctl,chamber,SAHA2008-02-13#t198w9,2008-02-13,Mrs REDMOND,354,,,Human,0.0,4.0,
asactl035,expansion,SA,ctl,chamber,SALC2018-06-19#t46w0,2018-06-19,The Hon. R.I. LUCAS,215,,,Human,0.0,4.0,
asactl036,expansion,SA,ctl,chamber,SAHA2019-07-02#t9w1,2019-07-02,Ms STINSON,325,,,Human,0.0,4.0,
asactl037,expansion,SA,ctl,chamber,SAHA2008-04-29#t6w0,2008-04-29,Dr McFETRIDGE,340,,,Human,0.0,4.0,
asactl038,expansion,SA,ctl,chamber,SALC2008-05-01#t11w0,2008-05-01,The Hon. P. HOLLOWAY,137,,,Human,0.0,4.0,
asactl039,expansion,SA,ctl,chamber,SAHA2019-04-30#t1w0,2019-04-30,The Hon. S.S. MARSHALL,349,,,Human,0.0,4.0,
asactl040,expansion,SA,ctl,chamber,SALC2006-11-20#t1w0,2006-11-20,The Hon. CARMEL ZOLLO,120,,,Human,0.0,4.0,
asactl041,expansion,SA,ctl,chamber,SALC2006-12-06#t174w2,2006-12-06,The Hon. A.L. EVANS,353,,,Human,0.0,4.0,
asactl042,expansion,SA,ctl,chamber,SAHA2018-11-14#t142w1,2018-11-14,The Hon. T.J. WHETSTONE,178,,,Human,0.0,4.0,
asactl043,expansion,SA,ctl,chamber,SAHA2018-09-18#t257w4,2018-09-18,The Hon. A. PICCOLO,346,,,Human,0.0,4.0,
asactl044,expansion,SA,ctl,chamber,SALC2009-11-18#t133w0,2009-11-18,The Hon. C.V. SCHAEFER,328,,,Human,0.0,4.0,
asactl045,expansion,SA,ctl,chamber,SAHA2019-07-23#t61w0,2019-07-23,The Hon. S.K. KNOLL,150,,,Human,0.0,4.0,
asactl046,expansion,SA,ctl,chamber,SAHA2016-10-20#t183w0,2016-10-20,The Hon. J.R. RAU,346,,,Human,0.0,4.0,
asactl047,expansion,SA,ctl,chamber,SALC2008-05-08#t16w5,2008-05-08,The Hon. M. PARNELL,346,,,Human,0.0,4.0,
asactl048,expansion,SA,ctl,chamber,SAHA2008-02-26#t132w0,2008-02-26,The Hon. J.M. RANKINE,359,,,Human,0.0,4.0,
asactl049,expansion,SA,ctl,chamber,SAHA2019-10-29#t5w4,2019-10-29,The Hon. V.A. CHAPMAN,353,,,Human,0.0,4.0,
asactl050,expansion,SA,ctl,chamber,SAHA2018-05-15#t143w0,2018-05-15,Ms BEDFORD,357,,,Human,0.0,4.0,
asactl051,expansion,SA,ctl,chamber,SAHA2019-10-29#t161w6,2019-10-29,The Hon. S.C. MULLIGHAN,313,,,Human,0.0,4.0,
asactl052,expansion,SA,ctl,chamber,SAHA2008-04-29#t162w12,2008-04-29,Ms CHAPMAN,355,,,Human,0.0,4.0,
asactl053,expansion,SA,ctl,chamber,SALC2006-05-09#t68w0,2006-05-09,The Hon. G.E. GAGO,266,,,Human,0.0,4.0,
asactl054,expansion,SA,ctl,chamber,SAHA2008-04-30#t138w5,2008-04-30,Mr GRIFFITHS,254,,,Human,0.0,4.0,
asactl055,expansion,SA,ctl,chamber,SALC2018-07-31#t88w1,2018-07-31,The Hon. K.J. MAHER,140,,,Human,0.0,4.0,
asactl056,expansion,SA,ctl,chamber,SAHA2007-10-17#t30w2,2007-10-17,The Hon. M.J. ATKINSON,341,,,Human,0.0,4.0,
asactl057,expansion,SA,ctl,chamber,SALC2019-07-03#t117w0,2019-07-03,The Hon. D.W. RIDGWAY,196,,,Human,0.0,4.0,
asactl058,expansion,SA,ctl,chamber,SALC2008-05-01#t71w0,2008-05-01,The Hon. P. HOLLOWAY,134,,,Human,0.0,4.0,
asactl059,expansion,SA,ctl,chamber,SALC2010-11-24#t228w2,2010-11-24,The Hon. P. HOLLOWAY,349,,,Human,0.0,4.0,
atactl000,expansion,TAS,ctl,chamber,TASHA2010-11-10#p1t53w0,2010-11-10,Mr O'HALLORAN,206,,contraction density +364% across the windows; prevalence not separable from a transcription change,Human,0.0,4.0,
atactl001,expansion,TAS,ctl,chamber,TASHA2007-06-27#p1t8w0,2007-06-27,Mr LENNON,161,,contraction density +364% across the windows; prevalence not separable from a transcription change,Human,0.0,4.0,
atactl002,expansion,TAS,ctl,chamber,TASHA2019-09-12#p1t133w0,2019-09-12,Ms WHITE,246,,contraction density +364% across the windows; prevalence not separable from a transcription change,Human,0.0,4.0,
atactl003,expansion,TAS,ctl,chamber,TASHA2015-06-02#p1t26w1,2015-06-02,Mr HODGMAN,350,,contraction density +364% across the windows; prevalence not separable from a transcription change,Human,0.0,4.0,
atactl004,expansion,TAS,ctl,chamber,TASHA2006-06-21#p2t1w1,2006-06-21,Mr MORRIS,217,,contraction density +364% across the windows; prevalence not separable from a transcription change,Human,0.0,4.0,
atactl005,expansion,TAS,ctl,chamber,TASHA2010-08-24#p2t55w1,2010-08-24,Mr O'BYRNE,342,,contraction density +364% across the windows; prevalence not separable from a transcription change,Human,0.0,4.0,
atactl006,expansion,TAS,ctl,chamber,TASHA2007-03-13#p1t56w0,2007-03-13,Mr ROCKLIFF,191,,contraction density +364% across the windows; prevalence not separable from a transcription change,Human,0.0,4.0,
atactl007,expansion,TAS,ctl,chamber,TASHA2009-07-02#p2t322w3,2009-07-02,Mr LLEWELLYN,350,,contraction density +364% across the windows; prevalence not separable from a transcription change,Human,0.0,4.0,
atactl008,expansion,TAS,ctl,chamber,TASHA2010-07-08#p2t45w4,2010-07-08,Ms PETRUSMA,254,,contraction density +364% across the windows; prevalence not separable from a transcription change,Human,0.0,4.0,
