blind_id,sid,group,justification,common_good,respect,constructiveness,evidence,ai_guess
S105,2026-03-25#t2363w0,B_human,2,1,1,0,3,10
S106,2025-12-10#t1759w0,cand_human,2,1,1,1,2,10
S107,2024-06-06#t17615w0,cand_human,1,1,1,1,2,5
S108,2026-03-18#t2043w0,cand_ai,2,1,1,0,2,45
S109,2024-05-16#t16835w3,cand_ai,3,1,0,0,3,15
S110,2025-10-22#t102w1,cand_human,1,1,1,0,1,10
S111,2025-12-09#t1692w1,B_human,2,2,1,2,3,25
S112,2026-03-20#t2144w0,cand_ai,1,1,1,0,2,30
S113,2025-10-30#t531w0,cand_human,3,2,0,1,3,3
S114,2019-12-12#t294w0,ctl2019,2,1,2,2,3,8
S115,2026-05-14#t3100w0,cand_human,1,1,1,0,3,25
S116,2025-12-11#t1848w0,B_human,2,2,2,2,1,5
S117,2026-05-07#t2790w0,B_human,3,1,0,0,2,5
S118,2025-10-22#t93w0,cand_human,2,2,2,2,2,10
S119,2026-03-18#t2107w0,B_human,3,1,1,2,3,12
S120,2025-10-24#t175w3,cand_human,3,2,1,1,2,4
S121,2023-11-23#t14308w0,cand_human,2,2,1,2,1,70
S122,2019-12-12#t318w0,ctl2019,2,1,1,0,2,4
S123,2026-05-06#t2644w0,cand_ai,2,1,1,0,3,15
S124,2026-03-26#t2533w0,cand_human,2,1,1,0,3,40
S125,2025-10-24#t150w0,B_human,2,1,1,0,1,25
S126,2025-10-22#t18w0,cand_human,1,1,2,1,0,10
S127,2026-03-25#t2343w0,cand_human,2,1,1,0,3,50
S128,2025-10-29#t305w0,cand_ai,2,1,1,0,3,35
S129,2026-03-25#t2412w0,B_human,3,2,2,2,2,5
S130,2026-03-24#t2322w4,cand_human,3,2,2,1,2,5
S131,2024-05-16#t16835w2,cand_human,3,2,1,1,3,45
S132,2026-05-08#t2976w0,B_human,2,1,1,1,3,3
S133,2025-11-18#t938w0,cand_human,1,1,1,1,3,20
S134,2026-03-20#t2201w0,B_ai,1,2,1,0,2,40
S135,2026-03-26#t2551w0,cand_ai,3,1,1,1,3,40
S136,2025-10-29#t325w0,B_human,2,1,0,0,2,25
S137,2025-10-24#t175w2,B_human,3,2,2,2,2,10
S138,2023-05-10#t11631w5,cand_ai,3,2,1,1,2,55
S139,2019-11-27#t261w4,ctl2019,3,1,2,1,1,5
S140,2026-05-13#t3063w0,cand_ai,2,2,1,1,3,30
S141,2026-05-13#t3058w0,cand_ai,1,1,1,0,1,25
S142,2019-12-12#t371w0,ctl2019,2,1,1,2,2,5
S143,2025-10-29#t371w0,B_human,2,1,1,0,3,20
S144,2023-05-10#t11631w4,cand_ai,3,2,1,1,2,55
S145,2025-12-10#t1767w0,B_human,2,2,1,2,1,10
S146,2024-05-16#t16835w4,cand_human,3,2,0,1,2,35
S147,2019-11-27#t198w0,cand_human,1,1,2,1,2,5
S148,2023-03-29#t11269w0,cand_human,0,0,1,0,1,3
S149,2025-10-22#t48w0,B_human,2,1,0,0,3,5
S150,2026-05-05#t2605w0,B_human,2,1,1,1,2,12
S151,2026-03-25#t2449w0,B_human,3,1,0,1,2,5
S152,2025-10-29#t337w0,cand_human,3,1,1,1,1,5
S153,2025-11-21#t1276w0,B_human,3,2,1,1,3,8
S154,2024-05-16#t16835w5,cand_human,3,2,2,2,2,40
S155,2025-12-02#t1333w0,cand_human,2,0,0,1,2,3
S156,2025-12-09#t1640w0,B_human,2,0,0,0,2,5
S157,2025-10-24#t139w0,B_human,2,1,1,0,3,8
S158,2025-12-10#t1730w0,cand_ai,1,1,1,1,2,45
S159,2026-05-06#t2703w0,cand_ai,3,2,2,1,2,50
S160,2025-10-28#t288w5,B_human,2,1,1,0,2,5
S161,2025-12-10#t1783w0,cand_ai,3,2,2,1,0,75
S162,2019-11-27#t165w0,ctl2019,2,1,1,1,2,12
S163,2026-03-18#t2047w1,B_human,1,1,1,1,1,8
S164,2025-12-11#t1817w0,B_human,2,1,2,2,0,5
S165,2019-12-12#t398w4,ctl2019,3,1,1,2,1,4
S166,2019-11-27#t230w2,ctl2019,2,1,1,2,2,20
S167,2019-12-12#t382w0,ctl2019,2,0,0,2,1,3
S168,2025-12-11#t1822w0,B_human,2,1,0,2,2,8
S169,2026-05-07#t2871w3,cand_ai,3,2,2,2,1,35
S170,2023-12-06#t15084w2,cand_ai,3,1,1,0,1,55
S171,2025-11-20#t1192w1,cand_human,2,2,2,2,1,10
S172,2026-05-13#t3084w0,B_human,2,2,1,1,2,15
S173,2019-11-27#t161w0,ctl2019,2,1,0,1,1,5
S174,2025-12-10#t1743w0,cand_ai,2,1,0,0,2,40
S175,2024-05-16#t16835w6,cand_human,2,2,1,2,3,50
S176,2025-10-30#t495w1,B_human,2,2,2,2,3,8
S177,2025-11-05#t660w0,B_human,2,2,2,1,2,12
S178,2026-05-13#t3072w1,B_ai,3,2,2,1,2,60
S179,2025-12-12#t2026w1,cand_human,1,1,2,0,0,5
S180,2026-03-24#t2321w2,cand_human,3,1,1,1,2,3
S181,2026-03-26#t2554w4,B_human,3,1,2,2,2,5
S182,2025-12-09#t1645w0,B_human,2,1,0,0,1,5
S183,2019-11-27#t185w0,cand_human,2,1,2,1,1,3
S184,2025-10-30#t482w0,cand_human,2,1,1,2,1,4
S185,2025-12-11#t1816w0,B_human,3,0,0,0,3,7
S186,2025-11-06#t790w0,B_human,2,1,2,1,0,5
S187,2019-11-27#t238w4,ctl2019,3,2,2,2,3,8
S188,2025-12-09#t1625w0,cand_ai,0,0,1,0,2,35
S189,2026-03-24#t2307w2,cand_human,3,2,1,2,1,15
S190,2025-12-11#t1803w0,cand_ai,0,1,1,0,3,25
S191,2023-11-30#t14720w2,cand_ai,3,2,1,1,1,35
S192,2019-05-10#t82w0,ctl2019,2,1,0,0,2,8
S193,2026-05-06#t2648w0,cand_human,1,2,1,1,2,30
S194,2023-03-30#t11384w1,cand_human,3,2,1,1,1,4
S195,2026-03-24#t2305w3,cand_ai,3,2,2,2,2,40
S196,2023-12-05#t14931w4,cand_ai,3,2,0,1,3,55
S197,2025-11-05#t646w0,B_human,3,1,0,0,3,7
S198,2025-10-30#t515w1,B_human,3,2,0,1,3,10
S199,2025-10-24#t178w1,cand_ai,3,1,1,2,2,45
S200,2026-05-07#t2771w0,B_human,2,1,0,1,2,10
S201,2025-11-06#t803w1,cand_ai,0,1,1,0,0,75
S202,2019-12-12#t385w3,ctl2019,3,1,2,1,1,10
S203,2025-11-20#t1098w0,cand_human,2,1,1,1,3,30
S204,2026-03-18#t2051w0,B_human,2,1,1,1,3,10
S205,2023-12-01#t14834w1,cand_human,2,2,0,0,1,5
S206,2023-05-11#t11745w0,cand_ai,2,1,1,0,1,55
S207,2026-05-06#t2693w0,B_human,3,2,0,1,3,10
S208,2025-10-28#t280w1,B_human,2,0,1,0,1,5
S209,2025-12-05#t1565w0,cand_human,2,1,1,1,3,10
S210,2024-05-07#t16123w0,cand_ai,2,1,1,1,3,40
S211,2019-12-12#t327w0,ctl2019,1,1,1,0,3,8
S212,2026-05-13#t2998w0,cand_ai,2,1,1,1,3,30
S213,2019-11-27#t145w0,ctl2019,2,1,0,1,2,12
S214,2025-10-30#t534w3,B_ai,3,2,2,2,3,20
S215,2025-10-28#t262w0,cand_human,2,2,1,2,3,25
S216,2025-12-03#t1388w0,cand_human,2,1,1,1,3,30
S217,2026-05-06#t2742w1,B_ai,3,2,1,2,3,35
S218,2025-11-05#t632w0,cand_ai,1,1,1,0,1,25
S219,2019-11-27#t256w0,cand_human,1,1,2,1,2,3
S220,2025-10-24#t189w4,B_human,2,1,0,0,1,10
S221,2025-10-30#t427w0,cand_ai,0,1,1,0,3,25
S222,2024-06-06#t17660w1,cand_ai,2,1,1,1,0,30
S223,2026-03-25#t2350w0,cand_ai,2,1,1,2,3,25
S224,2019-11-27#t217w0,ctl2019,2,1,2,1,2,15
S225,2026-03-20#t2162w0,B_human,2,1,0,0,2,25
S226,2025-10-22#t22w0,cand_human,2,2,1,2,3,30
S227,2025-10-30#t430w0,cand_ai,1,1,1,0,0,35
S228,2026-03-20#t2229w0,cand_human,2,1,1,1,0,45
S229,2019-12-12#t398w0,ctl2019,3,2,2,2,3,5
S230,2025-11-07#t914w0,B_human,3,1,2,2,2,5
S231,2025-10-22#t32w0,B_human,2,1,0,0,1,5
S232,2023-05-11#t11774w0,cand_ai,3,2,1,2,1,80
S233,2019-12-12#t385w7,ctl2019,2,1,2,2,1,5
S234,2026-03-25#t2368w0,B_human,3,1,1,1,3,5
S235,2026-03-25#t2431w0,B_human,2,1,0,0,1,3
S236,2019-11-27#t137w0,ctl2019,3,2,1,2,3,15
S237,2026-05-14#t3166w1,B_human,3,2,2,2,2,25
S238,2025-11-06#t792w0,cand_human,2,1,1,0,2,3
S239,2026-03-20#t2229w1,B_human,1,1,1,1,0,20
S240,2025-12-05#t1574w0,cand_human,2,2,1,2,3,35
